geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (557063.416160552 4219624.010602486),10855,3900,5200,557063.416160552,4219624.010602486,False,False,52.0,50.0,0.4593616538183375,-0.34631424724790133,0.011484041344374418,0.008657855913043022,0.014381991329795573,232.98724059039426,0.013799148021848834,0.014145514612506117,True,0.0,-9999,True,False,False,True
POINT (557065.2041605577 4219624.010602486),10856,4000,5200,557065.2041605577,4219624.010602486,False,False,122.0,120.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557066.9921605635 4219624.010602486),10857,4100,5200,557066.9921605635,4219624.010602486,False,False,122.0,120.0,0.4535061606514448,0.17554843944838427,0.011337654083035886,-0.004388711415231228,0.012157433445952366,291.1610035411194,0.09406816904592459,0.08972599487398525,False,0.0,-9999,True,True,False,True
POINT (557068.7801605692 4219624.010602486),10858,4200,5200,557068.7801605692,4219624.010602486,False,False,122.0,120.0,-0.37655988835871984,0.4769713189063251,-0.009413997177034616,-0.01192428357899189,0.015192494256093413,38.290428409267186,0.1296936536896295,0.13088714893465808,True,27.408118721776702,-9999,True,False,False,True
POINT (557070.568160575 4219624.010602486),10859,4300,5200,557070.568160575,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557072.3561605808 4219624.010602486),10860,4400,5200,557072.3561605808,4219624.010602486,False,False,512.0,316.0,-0.18456057977454435,7.637354894880962,-0.004614014527760446,-0.19093387480825186,0.19098961667942993,1.3843123359041865,0.2245459173527892,0.2124122947459676,False,38.60068769362375,-9999,False,True,False,True
POINT (557074.1441605865 4219624.010602486),10861,4500,5200,557074.1441605865,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557075.9321605923 4219624.010602486),10862,4600,5200,557075.9321605923,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557077.720160598 4219624.010602486),10863,4700,5200,557077.720160598,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557079.5081606038 4219624.010602486),10864,4800,5200,557079.5081606038,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557081.2961606096 4219624.010602486),10865,4900,5200,557081.2961606096,4219624.010602486,False,False,512.0,316.0,0.26183743292752215,-0.045345908230947196,0.006545935873873532,0.0011336477473378181,0.006643375172298231,260.17477381222966,0.2677314380263453,0.2689469674044142,True,50.23581011908062,-9999,False,False,False,False
POINT (557083.0841606153 4219624.010602486),10866,5000,5200,557083.0841606153,4219624.010602486,False,False,512.0,316.0,0.22444033451864862,0.20567025441560485,0.0056110083824023604,-0.005141756497323513,0.0076105896581774865,312.5011904782738,0.2618417104037499,0.26294376562313904,True,65.34528212352646,-9999,False,False,False,False
POINT (557084.8721606211 4219624.010602486),10867,5100,5200,557084.8721606211,4219624.010602486,False,False,512.0,316.0,0.2876028626640357,-0.21354861787836402,0.007190071628428996,0.005338715389370918,0.008955390110466739,233.4056651247081,0.26867721101145026,0.27022738368979143,True,55.63424752361298,-9999,False,False,False,False
POINT (557086.6601606269 4219624.010602486),10868,5200,5200,557086.6601606269,4219624.010602486,False,False,512.0,316.0,-0.37008797750182226,-0.33130958459421844,-0.009252199437469244,0.008282739669084549,0.012418009939460227,131.8354914664703,0.2728842241709006,0.2741173227567496,True,39.61056901304589,-9999,False,False,True,True
POINT (557088.4481606326 4219624.010602486),10869,5300,5200,557088.4481606326,4219624.010602486,False,False,512.0,316.0,-0.2947787639685392,0.12093298707915168,-0.007369469152763486,-0.0030233245342969894,0.007965523638356406,67.6941094544504,0.2680529267314895,0.2670518659215018,False,19.794725616926016,-9999,True,True,False,True
POINT (557090.2361606384 4219624.010602486),10870,5400,5200,557090.2361606384,4219624.010602486,False,False,512.0,316.0,0.25565327178258207,0.15785755805540658,0.006391331786289811,-0.003946439363062382,0.007511558137215389,301.69397742485984,0.24839151116135355,0.24863525797872624,True,0.0,-9999,True,False,False,True
POINT (557092.0241606442 4219624.010602486),10871,5500,5200,557092.0241606442,4219624.010602486,False,False,512.0,316.0,0.22733236363122938,4.764461902264398,0.005683309049345553,-0.1191115491092205,0.1192470592213855,357.2682510287013,0.21994694814744079,0.20779457961436856,False,29.04159972865999,-9999,True,True,False,True
POINT (557093.8121606499 4219624.010602486),10872,5600,5200,557093.8121606499,4219624.010602486,False,False,512.0,316.0,0.09373274961410313,0.3256296239376605,0.0023433187743648887,-0.008140740916132927,0.008471293026562812,343.9414932637113,0.20270272769344097,0.2041327604995806,True,34.36105892930054,-9999,True,False,False,True
POINT (557095.6001606557 4219624.010602486),10873,5700,5200,557095.6001606557,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557097.3881606614 4219624.010602486),10874,5800,5200,557097.3881606614,4219624.010602486,False,False,512.0,316.0,0.12221012586427016,1.883506085124016,0.0030552531825378537,-0.04708765260875225,0.04718666761079808,356.2876027037649,0.1933871131166664,0.18790754559866243,False,13.357562538300783,-9999,True,True,False,True
POINT (557099.1761606672 4219624.010602486),10875,5900,5200,557099.1761606672,4219624.010602486,False,False,512.0,316.0,0.3121044486974444,-2.4335487326652445,0.007802611216902733,0.06083871889859438,0.06133702355856796,187.308331152379,0.19297518902575522,0.18691500605327036,False,60.19497055607566,-9999,False,True,False,True
POINT (557100.964160673 4219624.010602486),10876,6000,5200,557100.964160673,4219624.010602486,False,False,512.0,316.0,0.25104933702799836,1.4932627252665538,0.006276233470998704,-0.037331569008529186,0.037855477162770795,350.4566026910606,0.17984781392713797,0.18237673674702315,True,21.721432806531695,-9999,True,False,False,True
POINT (557102.7521606787 4219624.010602486),10877,6100,5200,557102.7521606787,4219624.010602486,False,False,512.0,316.0,0.36684870687625387,0.6814006986127852,0.009171217679977417,-0.01703501772135496,0.01934691351354029,331.7031138842546,0.1643485292894498,0.177340902844893,True,25.113011016434555,-9999,True,False,False,True
POINT (557104.5401606845 4219624.010602486),10878,6200,5200,557104.5401606845,4219624.010602486,False,False,512.0,316.0,0.34918845896647055,1.3553671667064313,0.00872971152421087,-0.03388417977839708,0.034990648787221336,345.5528430496411,0.15780029761122236,0.16104920887707655,True,31.646491983670614,-9999,True,False,False,True
POINT (557106.3281606903 4219624.010602486),10879,6300,5200,557106.3281606903,4219624.010602486,False,False,512.0,316.0,0.20009566403234563,1.359332250710335,0.005002391641028225,-0.03398330695927143,0.03434951344660205,351.62611572231657,0.1453540704156868,0.14577082392215693,True,52.92055621007468,-9999,False,False,True,True
POINT (557108.116160696 4219624.010602486),10880,6400,5200,557108.116160696,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557109.9041607018 4219624.010602486),10881,6500,5200,557109.9041607018,4219624.010602486,False,False,512.0,316.0,-0.04449382740230839,0.4505188010428784,-0.0011123457225039601,-0.011262970045208931,0.011317765117091205,5.640315589147608,0.1326058222985223,0.1305974845103513,False,17.66150503127676,-9999,True,True,False,True
POINT (557111.6921607075 4219624.010602486),10882,6600,5200,557111.6921607075,4219624.010602486,False,False,512.0,316.0,0.3123099823674449,0.6822208410582097,0.00780774955637753,-0.017055521719157696,0.01875771239378015,335.40243743161517,0.12326827910708678,0.12632781356478892,True,25.182574189252435,-9999,True,False,False,True
POINT (557113.4801607133 4219624.010602486),10883,6700,5200,557113.4801607133,4219624.010602486,False,False,512.0,316.0,-0.2740470348146211,3.7650862278031996,-0.00685117591638118,-0.09412715677171946,0.09437616358681387,4.163011632019477,0.11486877181100236,0.07529273722787423,False,0.0,-9999,True,True,False,True
POINT (557115.2681607191 4219624.010602486),10884,6800,5200,557115.2681607191,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557117.0561607248 4219624.010602486),10885,6900,5200,557117.0561607248,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557118.8441607306 4219624.010602486),10886,7000,5200,557118.8441607306,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557120.6321607364 4219624.010602486),10887,7100,5200,557120.6321607364,4219624.010602486,False,False,512.0,316.0,-0.24506424511575997,-0.21407748680600064,-0.006126606138423085,0.005351937375962734,0.008135019142668953,131.13905203980784,0.0637318641412199,0.061996834886120275,False,0.0,-9999,True,True,False,True
POINT (557122.4201607421 4219624.010602486),10888,7200,5200,557122.4201607421,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557124.2081607479 4219624.010602486),10889,7300,5200,557124.2081607479,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557125.9961607537 4219624.010602486),10890,7400,5200,557125.9961607537,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557127.7841607594 4219624.010602486),10891,7500,5200,557127.7841607594,4219624.010602486,False,False,512.0,316.0,-0.30138627824501,-26.356224309578973,-0.007534656906500459,0.6589056178927422,0.6589486962922948,179.34484511395036,0.0792391611590321,0.07381839366240346,False,7.339080627321408,-9999,True,True,False,True
POINT (557129.5721607652 4219624.010602486),10892,7600,5200,557129.5721607652,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,"The calculated shift (X: 48.3270089545366 px / Y: 82.85714565368163 px) is recognized as too large to be valid. If you know that it is valid, just set the '-max_shift' parameter to an appropriate value. Otherwise try to use a different window size for matching via the '-ws' parameter or define the spectral bands to be used for matching manually ('-br' and '-bs').",-9999,-9999,-9999,-9999
POINT (557131.360160771 4219624.010602486),10893,7700,5200,557131.360160771,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557133.1481607767 4219624.010602486),10894,7800,5200,557133.1481607767,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
